Study_Hours,Attendance,Previous_Marks,Assignment_Score,Sleep_Hours,Internet_Usage,Extra_Coaching,Pass
5,90,42,58,9,Low,1,0
1,65,51,88,7,Low,1,0
8,68,50,76,8,High,0,0
1,60,38,46,6,High,1,0
1,50,55,51,5,High,1,0
2,79,38,97,8,Medium,0,0
2,50,44,98,6,High,1,0
6,75,39,66,6,Low,0,0
7,88,71,78,6,Medium,1,0
5,98,53,42,9,Low,0,0
1,78,78,63,9,Low,1,0
1,79,55,82,6,High,1,0
3,74,66,80,9,High,1,0
2,93,97,32,7,Low,1,0
5,73,79,71,6,Low,0,0
6,94,53,61,7,Medium,0,0
7,86,48,80,7,High,0,0
4,63,89,75,6,Medium,0,0
7,93,68,50,5,Medium,0,0
8,61,47,73,6,Medium,0,0
1,44,48,40,6,Low,0,0
6,95,65,97,9,Medium,1,0
8,72,84,30,6,Medium,1,0
5,97,98,92,5,Low,1,0
4,75,76,53,9,High,1,0
2,86,78,42,4,High,0,0
6,59,62,40,4,Medium,0,0
6,58,50,80,7,Low,0,0
1,74,51,46,7,High,1,0
9,91,77,53,5,Medium,0,0
6,82,66,48,8,Medium,1,0
3,56,44,66,4,Low,0,0
4,98,64,37,7,Medium,0,0
4,84,61,57,4,High,0,0
3,82,40,34,5,Low,0,0
3,73,39,46,5,High,1,0
3,48,86,65,8,High,1,0
4,65,54,48,8,High,0,0
7,41,31,93,9,Medium,1,0
4,92,93,40,5,Medium,0,0
9,48,64,83,7,High,0,0
1,48,36,74,4,High,0,0
8,79,47,76,6,Low,0,0
7,56,96,41,8,Low,1,0
2,40,71,50,6,Medium,0,0
8,64,68,40,7,Medium,0,0
1,82,70,34,8,Low,1,0
9,79,53,85,6,High,0,0
9,81,89,49,7,Medium,1,0
2,64,75,70,4,High,0,0
7,78,48,75,7,Low,0,0
3,74,97,41,9,Medium,0,0
7,42,71,99,8,Medium,0,0
9,89,61,46,5,Low,0,0
4,76,68,48,4,Medium,0,0
1,83,65,55,6,Low,1,0
2,83,65,77,8,Medium,0,0
1,90,32,81,5,Low,1,0
5,69,37,99,7,Medium,1,0
5,77,99,84,5,High,0,0
7,73,70,62,8,High,1,0
9,51,97,91,8,High,0,0
9,58,42,52,9,Medium,1,0
3,76,78,44,9,Medium,0,0
3,83,89,56,5,High,1,0
3,98,31,93,7,High,1,0
4,98,89,80,5,Low,0,0
8,88,34,82,8,Low,1,0
6,56,73,80,8,Low,0,0
8,49,56,76,6,High,0,0
1,96,61,33,9,High,0,0
8,94,50,36,6,High,0,0
4,88,37,64,4,Low,0,0
1,86,79,77,8,Medium,1,0
8,51,96,74,6,High,1,0
4,55,73,48,5,Medium,1,0
6,63,87,92,9,Medium,0,0
8,58,32,67,9,Medium,1,0
4,47,99,96,7,Low,1,0
3,70,31,88,5,Medium,1,0
9,60,73,98,7,High,1,0
3,56,31,42,6,Low,1,0
9,62,64,76,4,High,0,0
2,76,59,90,5,High,0,0
2,93,37,60,5,Low,1,0
2,55,51,51,5,High,0,0
6,45,73,72,7,High,0,0
3,47,87,96,6,Low,1,0
9,64,65,83,5,High,1,0
4,57,98,39,5,Medium,0,0
1,64,60,71,9,High,1,0
4,51,76,93,4,Medium,0,0
1,54,84,50,9,High,0,0
5,98,91,95,9,Low,1,0
4,65,59,70,4,Low,0,0
8,80,84,53,6,High,0,0
8,84,45,64,9,Low,0,0
7,65,41,85,6,High,1,0
3,86,46,59,9,Low,1,0
1,71,45,86,8,Medium,1,0
1,49,41,76,4,High,1,0
3,55,37,64,9,Medium,0,0
6,46,32,48,8,Medium,1,0
7,56,45,37,7,High,1,0
6,62,59,55,8,Medium,1,0
6,65,52,59,5,High,1,0
6,60,34,36,9,Medium,0,0
3,61,94,96,8,High,0,0
6,97,59,94,6,High,0,0
8,46,50,65,7,Low,1,0
2,53,99,54,9,High,1,0
5,54,51,66,5,High,0,0
1,92,61,30,8,Medium,1,0
1,46,62,44,7,High,1,0
5,48,45,66,9,Low,0,0
3,90,67,42,7,Medium,0,0
4,87,43,37,5,Medium,1,0
3,47,65,34,8,Low,1,0
1,89,52,89,7,Medium,1,0
1,98,95,30,7,Medium,0,0
5,62,31,65,4,Medium,0,0
6,68,94,64,7,Medium,0,0
3,57,96,95,4,Low,0,0
9,70,81,92,8,Low,1,0
5,69,91,52,9,Medium,0,0
8,91,52,38,9,Medium,0,0
1,78,55,63,8,Low,1,0
5,74,97,75,8,Low,1,0
3,57,84,33,6,Low,1,0
1,98,35,59,8,Medium,0,0
4,81,64,32,7,Medium,1,0
5,78,51,43,9,High,1,0
7,56,72,89,5,Low,0,0
1,53,44,74,9,Medium,0,0
3,70,89,63,4,Low,1,0
2,63,41,74,9,Medium,0,0
9,74,78,90,6,Low,1,0
6,83,71,45,8,Medium,1,0
3,99,67,95,8,High,0,0
8,84,74,69,9,High,1,0
8,73,64,46,5,Low,0,0
2,42,59,63,5,Medium,0,0
6,76,59,45,6,Medium,0,0
7,82,35,89,4,Low,1,0
2,79,96,95,9,Medium,0,0
2,65,36,95,8,Low,0,0
1,94,81,42,9,Medium,1,0
8,62,43,85,6,Low,1,0
1,83,44,60,7,Medium,1,0
9,78,50,63,7,Low,1,0
6,54,64,68,6,Medium,0,0
7,95,95,96,8,High,0,0
7,88,31,37,6,Medium,0,0
3,43,64,84,8,Low,1,0
2,68,49,56,5,High,1,0
9,61,39,82,6,Medium,0,0
8,64,54,68,8,High,1,0
7,52,95,94,6,Medium,1,0
9,57,54,46,6,High,0,0
4,72,83,59,8,Low,0,0
4,55,62,82,8,Medium,1,0
1,84,65,42,4,Medium,1,0
8,81,43,50,6,Low,1,0
3,83,94,48,7,High,0,0
7,41,83,82,6,Low,0,0
2,94,81,48,6,Low,0,0
2,74,32,86,8,High,0,0
7,81,70,54,6,Low,0,0
6,73,35,60,9,Medium,1,0
3,69,54,84,6,Medium,1,0
9,98,42,52,9,Medium,1,0
6,94,37,61,7,Low,0,0
6,52,50,91,8,Medium,0,0
1,52,97,39,6,Medium,0,0
4,57,54,83,9,Medium,1,0
6,71,97,81,9,Medium,0,0
6,71,74,49,9,Medium,0,0
5,74,89,61,5,Medium,1,0
1,98,41,43,4,Low,0,0
8,78,61,79,7,Medium,1,0
5,85,42,57,6,Medium,0,0
5,91,60,82,5,High,0,0
7,68,49,53,6,Low,1,0
4,88,47,51,6,Low,1,0
6,68,89,59,8,Low,1,0
4,92,92,92,8,Low,1,0
3,83,35,33,8,Medium,1,0
7,96,61,88,5,Medium,1,0
8,55,72,37,6,High,0,0
4,95,31,41,4,High,0,0
2,83,89,60,7,Low,1,0
3,86,52,63,8,High,0,0
1,96,60,78,8,High,1,0
8,49,34,86,6,Low,0,0
3,69,63,55,6,Low,1,0
7,64,39,47,5,High,0,0
5,78,31,67,5,Medium,0,0
5,59,40,79,8,High,0,0
7,44,79,37,6,High,0,0
9,40,60,70,4,Medium,0,0
5,69,85,35,7,Medium,1,0
1,88,38,98,6,Low,1,0
1,42,50,73,6,Low,1,0
2,84,57,93,9,High,0,0
6,53,91,58,5,Medium,1,0
9,95,36,57,7,Low,0,0
8,69,45,40,8,High,0,0
5,89,33,94,6,Medium,0,0
1,43,33,48,8,High,1,0
7,57,69,38,6,Low,0,0
5,76,46,56,8,Low,1,0
6,64,81,63,7,Medium,1,0
7,87,81,73,5,High,0,0
3,40,65,97,7,Medium,0,0
3,92,67,44,9,Low,1,0
5,85,79,80,4,Low,1,0
6,54,92,42,5,High,1,0
9,48,92,78,7,High,1,0
5,54,91,99,9,High,1,0
1,88,36,85,4,Medium,1,0
4,96,56,80,9,High,0,0
5,63,43,66,6,High,1,0
5,43,34,46,6,Low,1,0
7,51,84,87,8,Low,1,0
4,98,31,58,5,High,1,0
1,97,91,62,6,High,0,0
5,76,50,89,9,Low,0,0
7,76,50,84,5,High,1,0
6,82,39,39,6,Medium,1,0
5,99,87,76,8,Medium,1,0
4,45,68,52,7,Medium,0,0
2,78,34,50,8,High,0,0
4,95,94,42,4,Low,0,0
3,85,42,62,6,High,0,0
1,63,82,53,4,High,0,0
8,50,74,40,4,Low,0,0
5,52,61,46,9,Low,1,0
4,73,65,97,5,Low,0,0
8,64,89,76,9,Medium,0,0
7,46,40,54,6,High,1,0
2,91,92,50,4,Low,0,0
1,43,50,41,7,High,1,0
4,98,81,66,4,Medium,0,0
8,47,84,71,7,Medium,1,0
2,59,55,46,9,Low,1,0
3,68,97,77,9,Low,1,0
1,93,63,57,5,High,1,0
1,92,81,70,4,Low,1,0
3,90,81,76,8,High,0,0
5,84,58,47,9,Low,0,0
3,85,67,42,9,High,1,0
1,49,71,42,5,High,1,0
1,82,50,60,7,High,1,0
8,73,71,31,5,High,0,0
2,96,42,45,4,Medium,1,0
3,65,93,38,6,High,1,0
2,80,46,67,6,Low,1,0
3,88,38,83,7,Medium,1,0
7,97,70,85,9,Medium,0,0
1,42,30,74,7,High,1,0
8,95,31,63,9,Medium,1,0
2,45,89,38,9,High,0,0
3,44,77,37,6,Low,1,0
9,44,58,36,7,High,1,0
7,93,39,65,5,Medium,0,0
4,86,87,47,9,Low,0,0
5,62,89,32,8,High,0,0
2,88,50,57,8,Low,1,0
8,48,57,99,5,Low,1,0
4,74,63,73,8,Medium,0,0
9,59,37,50,4,Low,0,0
5,97,88,57,9,Medium,0,0
9,88,78,83,5,Low,1,0
4,98,46,83,7,High,1,0
5,81,89,94,9,Low,0,0
9,74,74,50,5,High,1,0
8,89,98,42,6,High,0,0
3,57,61,86,7,Low,1,0
1,56,73,78,6,High,1,0
3,63,94,83,9,Low,1,0
4,42,37,39,7,Low,1,0
2,71,72,82,8,High,0,0
1,74,30,73,5,High,1,0
7,77,80,76,9,Medium,1,0
8,52,53,82,4,High,0,0
7,95,53,75,7,Medium,1,0
5,86,46,42,7,High,0,0
1,64,34,66,9,Low,0,0
7,48,49,53,9,High,1,0
7,43,50,31,6,Low,1,0
9,53,87,43,8,Low,0,0
3,76,60,39,6,Low,0,0
9,73,40,64,6,Medium,0,0
1,50,81,54,8,High,1,0
1,80,44,32,4,Low,0,0
4,95,36,46,6,Low,0,0
9,42,57,41,6,Medium,0,0
6,98,80,83,7,High,1,0
3,67,87,53,8,High,0,0
1,68,34,58,5,Medium,1,0
4,48,34,72,4,Medium,1,0
9,42,37,54,4,High,0,0
3,64,93,89,8,Medium,1,0
9,73,39,94,9,High,0,0
7,51,67,57,9,High,1,0
4,81,37,45,7,Low,1,0
3,48,54,76,7,Low,0,0
5,54,95,87,8,High,0,0
5,79,79,56,7,High,0,0
3,64,96,82,4,High,1,0
9,44,78,71,4,High,1,0
4,50,65,88,5,High,0,0
5,98,97,76,9,High,0,0
4,73,70,63,8,Medium,1,0
5,63,91,66,6,High,1,0
7,99,39,35,9,Medium,1,0
9,54,50,36,6,Medium,0,0
7,77,65,54,5,High,1,0
5,47,41,62,5,High,0,0
7,98,31,84,7,Medium,1,0
5,44,42,87,5,Medium,1,0
3,87,82,36,5,High,0,0
7,65,61,86,6,High,0,0
2,57,45,41,7,Medium,0,0
9,45,61,45,5,Medium,1,0
1,76,61,72,9,Medium,1,0
6,99,40,36,5,Low,1,0
7,87,39,80,7,Medium,0,0
8,52,44,61,8,Low,1,0
9,67,46,37,7,High,0,0
2,44,69,74,6,High,0,0
2,52,47,88,8,Medium,0,0
5,56,84,33,9,High,1,0
5,89,54,96,4,High,1,0
6,79,88,58,7,High,0,0
3,84,51,58,6,High,1,0
8,71,59,57,9,Low,0,0
1,68,73,73,8,Low,0,0
6,90,61,33,9,Medium,1,0
4,97,80,38,7,Medium,0,0
1,42,75,34,5,Medium,0,0
7,95,50,85,7,High,1,0
9,79,61,79,4,High,0,0
4,73,68,44,7,Low,0,0
4,79,41,61,8,Low,0,0
6,66,76,57,8,Medium,0,0
3,52,47,51,7,Low,0,0
6,84,50,46,8,Low,0,0
7,72,42,88,5,Low,0,0
3,45,50,86,9,Low,1,0
7,63,37,55,7,Low,1,0
3,58,75,54,5,Medium,0,0
2,55,36,39,9,Medium,0,0
4,79,52,74,9,Low,1,0
8,67,51,40,5,Medium,1,0
9,72,51,82,6,High,1,0
7,98,58,97,7,Low,1,0
1,98,42,57,9,High,1,0
3,87,31,94,9,Medium,0,0
9,80,58,78,8,Medium,1,0
1,52,81,76,9,High,1,0
9,82,56,81,5,Medium,1,0
8,84,79,83,9,Low,0,0
1,64,52,89,6,High,0,0
6,92,73,86,7,Low,0,0
5,81,51,76,7,High,0,0
6,75,72,60,9,Medium,0,0
5,66,66,75,4,High,0,0
6,77,90,55,4,High,1,0
5,99,85,34,5,Low,0,0
5,46,32,81,4,Medium,0,0
4,44,92,83,5,Low,1,0
3,82,48,62,8,Medium,0,0
3,84,52,79,5,Low,1,0
4,97,58,67,4,High,1,0
9,96,59,56,9,Low,0,0
2,90,68,44,8,Medium,1,0
9,70,54,90,4,Medium,1,0
1,62,37,50,5,High,1,0
1,81,87,75,6,Medium,1,0
5,49,45,98,7,Low,0,0
6,71,30,35,4,High,1,0
6,82,34,67,5,Medium,0,0
3,92,32,91,8,Medium,1,0
7,69,94,91,4,Low,1,0
9,78,33,75,4,Low,1,0
8,70,93,42,7,High,0,0
6,57,39,32,5,Medium,0,0
8,75,50,35,6,Low,0,0
5,41,75,37,8,High,1,0
8,53,56,73,5,Medium,1,0
4,52,95,62,8,Medium,1,0
8,68,70,79,4,High,1,0
2,51,42,40,7,High,0,0
5,78,38,57,7,Low,1,0
9,41,65,99,9,Medium,0,0
4,71,87,70,6,Medium,1,0
6,52,83,45,7,Medium,0,0
1,85,41,97,4,High,0,0
9,66,43,77,6,Low,1,0
1,88,63,85,5,Medium,1,0
5,80,82,93,7,High,0,0
4,56,49,88,6,Medium,1,0
3,79,45,91,4,Low,1,0
6,70,99,40,9,Medium,0,0
2,73,85,47,8,Low,0,0
3,99,87,48,8,Low,0,0
5,63,33,84,4,Medium,0,0
9,84,33,55,4,Medium,1,0
2,74,49,35,8,Low,0,0
8,87,39,33,9,High,0,0
2,45,53,58,6,Low,0,0
5,58,55,88,8,Medium,1,0
7,69,66,46,4,Medium,0,0
8,46,83,72,7,High,1,0
1,49,50,95,5,Low,0,0
6,80,67,63,9,Low,0,0
1,71,75,37,9,Low,1,0
2,73,33,42,7,Medium,0,0
1,67,89,37,7,Low,0,0
5,99,86,94,4,High,1,0
9,54,74,72,8,Medium,0,0
6,69,49,68,6,Medium,0,0
1,76,46,88,9,Low,0,0
1,68,33,73,9,High,0,0
2,61,43,38,7,Medium,1,0
9,43,32,66,8,Medium,0,0
3,59,87,65,9,Low,1,0
1,71,84,57,6,Low,0,0
5,75,33,71,7,High,1,0
7,89,53,72,6,Low,0,0
6,43,63,71,8,High,1,0
1,66,59,95,9,Medium,0,0
5,56,48,84,5,High,1,0
5,51,60,77,9,High,1,0
6,61,89,51,8,High,0,0
3,56,89,56,9,Medium,1,0
5,49,48,96,9,Low,0,0
7,93,78,42,4,Medium,0,0
5,40,92,74,9,Low,0,0
5,61,51,39,9,High,0,0
5,65,53,38,6,High,0,0
3,95,59,83,5,High,1,0
1,98,87,56,6,High,0,0
5,57,60,63,6,High,0,0
9,89,93,30,7,Low,0,0
1,53,48,61,4,Low,0,0
3,86,77,96,6,High,0,0
4,68,74,49,8,Medium,0,0
1,51,84,64,8,Medium,1,0
1,75,84,46,9,High,1,0
8,98,47,47,7,Low,0,0
2,74,92,74,4,Medium,1,0
8,91,76,82,4,Medium,0,0
7,51,86,97,9,Medium,0,0
2,46,74,94,8,High,0,0
6,68,62,30,5,Medium,0,0
6,50,46,87,7,Medium,0,0
3,72,99,55,9,Medium,1,0
2,45,33,49,7,Medium,1,0
1,86,49,39,8,Low,1,0
6,54,76,88,8,High,1,0
5,71,44,70,5,High,0,0
9,90,99,34,5,Low,1,0
1,50,76,94,4,Low,0,0
7,97,38,46,7,High,1,0
5,62,45,51,7,Medium,1,0
5,65,98,70,8,Medium,1,0
2,73,90,97,4,High,1,0
3,85,39,98,9,Medium,0,0
7,73,79,40,7,Low,1,0
6,68,32,85,4,Medium,1,0
2,43,99,80,4,Medium,0,0
6,56,80,50,8,Medium,0,0
2,74,48,55,4,High,1,0
2,52,71,48,5,Low,0,0
2,80,64,89,5,Medium,0,0
3,78,75,76,6,High,0,0
2,54,55,55,8,Medium,1,0
4,94,98,69,9,Low,0,0
9,68,93,34,6,Medium,1,0
6,68,66,50,5,Low,1,0
1,50,78,33,6,Medium,1,0
8,91,50,52,8,Low,1,0
7,71,93,44,8,Medium,0,0
3,41,34,37,4,Low,1,0
1,86,99,70,7,Medium,0,0
5,53,33,48,4,Medium,1,0
4,59,68,75,8,High,0,0
8,61,64,57,5,High,1,0
1,50,30,97,9,Low,0,0
1,66,53,44,5,Medium,1,0
4,42,86,66,4,Low,1,0
8,56,99,30,9,High,0,0
5,83,70,96,8,Low,1,0
2,95,83,53,5,Low,1,0
6,67,75,56,8,High,1,0
5,68,89,69,9,Medium,0,0
2,60,89,92,9,Low,1,0
3,86,86,90,5,High,1,0
9,55,60,65,8,Medium,0,0
7,76,53,53,6,High,0,0
7,98,65,53,8,Low,0,0
6,59,59,33,9,Medium,0,0
8,45,53,96,8,Medium,0,0
4,58,59,63,4,High,1,0
8,96,36,86,6,High,1,0
4,44,64,78,7,High,1,0
8,42,84,82,4,Medium,0,0
9,98,43,52,7,Medium,1,0
3,40,39,98,5,Low,0,0
3,97,45,82,7,Medium,0,0
2,99,83,91,8,Low,1,0
3,77,99,70,7,High,0,0
3,54,73,86,9,High,0,0
5,73,74,89,4,Medium,1,0
5,74,85,83,4,High,0,0
2,88,86,99,7,High,0,0
6,64,50,86,4,Medium,1,0
5,63,97,39,9,Low,0,0
6,51,79,69,4,Medium,0,0
1,57,62,36,7,Low,1,0
5,54,36,67,6,Medium,1,0
9,83,99,90,6,Medium,1,0
2,55,44,32,5,High,1,0
1,66,61,80,4,Medium,0,0
9,47,49,76,7,Medium,0,0
9,99,44,97,4,Low,1,0
9,85,77,67,8,High,0,0
6,64,50,65,9,Low,0,0
8,56,71,70,4,Low,1,0
1,68,55,98,4,High,1,0
4,92,43,42,6,High,0,0
1,47,86,87,9,High,1,0
8,54,66,79,7,Medium,1,0
1,66,87,59,4,High,1,0
3,85,50,91,6,High,0,0
4,89,98,54,5,High,1,0
8,91,32,56,9,Low,0,0
6,46,66,80,6,Low,0,0
7,42,78,86,6,Medium,0,0
8,68,48,76,6,Low,1,0
2,83,41,68,4,Medium,1,0
8,92,90,45,4,Low,1,0
3,63,70,51,5,High,1,0
7,99,62,83,8,Low,1,0
3,97,79,50,8,Medium,0,0
7,42,97,45,8,Low,0,0
2,59,62,88,9,High,0,0
6,85,53,60,9,Medium,1,0
3,54,90,71,5,High,0,0
3,64,90,61,9,High,0,0
9,69,57,88,8,Medium,1,0
7,53,87,63,8,High,1,0
5,46,72,38,6,High,0,0
7,56,70,40,9,Low,0,0
9,83,68,39,4,High,1,0
1,59,78,46,4,High,1,0
7,75,46,97,6,High,1,0
6,48,99,77,6,High,1,0
9,77,99,81,6,Medium,0,0
1,87,94,54,4,Low,0,0
4,96,34,50,8,High,1,0
9,99,31,94,6,High,0,0
4,61,51,92,5,Medium,0,0
3,93,86,80,6,High,1,0
9,92,95,65,7,Medium,0,0
2,92,45,95,6,Low,0,0
4,41,80,44,4,Low,0,0
6,63,68,68,9,High,1,0
2,47,69,99,6,High,1,0
8,50,67,30,9,High,0,0
8,52,89,52,7,Medium,1,0
1,56,88,68,5,High,1,0
3,47,39,86,9,High,1,0
9,60,93,63,8,Low,0,0
5,57,92,70,6,High,0,0
6,69,78,42,7,Low,1,0
4,57,93,99,7,High,0,0
2,85,61,35,9,Low,0,0
8,86,36,81,5,High,0,0
6,70,50,32,4,Low,0,0
5,77,49,92,6,Medium,0,0
9,71,55,78,7,Low,1,0
1,50,97,76,5,Low,0,0
5,84,44,84,8,Low,0,0
6,64,43,93,7,High,0,0
5,72,56,94,5,High,1,0
6,99,69,96,4,High,1,0
6,77,87,44,4,Medium,1,0
7,80,57,61,7,Medium,0,0
4,47,55,97,7,Low,1,0
8,50,92,47,9,Medium,1,0
7,61,95,72,6,Low,1,0
9,90,54,64,5,Low,1,0
7,63,32,87,7,Low,0,0
3,80,73,62,6,Medium,1,0
3,56,71,43,9,High,1,0
8,51,35,63,6,Medium,0,0
5,96,68,90,7,Low,0,0
4,85,81,33,4,Low,1,0
8,71,52,88,5,Medium,0,0
6,54,79,58,5,Low,1,0
2,55,72,35,4,Low,0,0
4,93,48,78,7,Medium,0,0
4,61,98,69,5,Medium,1,0
6,67,80,94,7,Medium,0,0
6,59,40,98,9,Low,1,0
1,72,41,56,7,Low,0,0
8,49,37,35,6,High,1,0
6,79,53,42,4,High,0,0
3,71,70,93,7,Medium,0,0
9,89,65,91,9,High,0,0
2,99,84,48,8,Low,0,0
8,72,38,72,4,High,0,0
3,41,76,49,5,Low,1,0
5,72,44,97,6,Medium,0,0
6,72,77,73,5,Medium,1,0
6,80,71,52,9,Low,1,0
4,52,89,31,9,High,1,0
3,69,99,51,5,Medium,0,0
4,72,41,86,4,Medium,1,0
1,52,31,36,5,High,0,0
4,91,36,85,7,High,1,0
1,65,32,96,5,Low,1,0
1,61,32,45,6,High,1,0
6,78,56,80,6,High,1,0
5,41,69,41,8,High,1,0
4,77,62,82,6,Low,0,0
3,78,30,34,5,Low,1,0
1,65,37,56,6,Medium,1,0
6,85,61,41,4,Low,0,0
2,97,77,46,6,Medium,0,0
8,89,33,35,7,High,0,0
5,54,99,34,4,Medium,1,0
7,73,48,86,8,Medium,1,0
2,81,61,57,7,High,1,0
8,94,38,98,5,Medium,1,0
2,83,41,88,5,Low,1,0
4,88,40,62,5,Low,1,0
1,79,75,91,7,Low,0,0
5,50,45,79,7,Low,0,0
9,42,30,48,7,Medium,1,0
1,98,92,98,4,Medium,1,0
9,45,50,95,9,High,1,0
8,48,59,76,4,Medium,1,0
6,45,42,68,5,Medium,1,0
7,48,63,97,9,Medium,0,0
3,78,33,62,6,High,0,0
1,70,57,42,5,Low,1,0
5,71,88,83,8,Medium,0,0
2,80,56,36,4,High,1,0
5,89,98,43,7,High,1,0
8,51,54,48,4,High,1,0
9,47,32,83,7,Low,0,0
2,47,97,49,9,Medium,0,0
3,89,54,58,8,High,1,0
3,67,49,53,9,Low,0,0
1,59,63,92,8,High,0,0
8,86,55,86,4,High,1,0
6,98,34,37,7,High,0,0
8,46,90,91,9,High,0,0
9,50,38,58,8,High,1,0
